experiment,dataset,top_1_acc_diff,top_1_acc_improvement,top_3_acc_diff,top_3_acc_improvement,top_5_acc_diff,top_5_acc_improvement,top_10_acc_diff,top_10_acc_improvement,top_15_acc_diff,top_15_acc_improvement
gpt-3.5-turbo-0125_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag,0.040,0.251,0.058,0.188,0.035,0.175,0.004,0.179,0.002,0.173
gpt-3.5-turbo-0125_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_3,0.067,0.224,0.067,0.179,0.040,0.170,0.011,0.172,0.005,0.170
gpt-3.5-turbo-0125_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_1,0.135,0.156,0.085,0.161,0.051,0.159,0.015,0.169,0.008,0.166
gpt-3.5-turbo-0125_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_5,0.161,0.129,0.080,0.165,0.048,0.162,0.013,0.170,0.006,0.168
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-3.5-turbo-0125_0.5_zero_shot,0.078,0.192,0.088,0.159,0.054,0.156,0.021,0.155,0.012,0.151
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-3.5-turbo-0125_0.5_few_shot_1,0.097,0.173,0.101,0.145,0.064,0.146,0.016,0.161,0.009,0.154
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_zero_shot,0.120,0.151,0.098,0.149,0.059,0.152,0.031,0.145,0.019,0.144
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_3,0.097,0.174,0.078,0.169,0.050,0.160,0.015,0.161,0.009,0.154
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_1,0.081,0.190,0.084,0.163,0.051,0.159,0.009,0.167,0.006,0.157
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_5,0.028,0.243,0.031,0.215,0.022,0.188,0.012,0.164,0.010,0.154
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.049,0.222,0.141,0.105,0.152,0.059,0.110,0.067,0.080,0.083
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.0_few_shot_5,0.144,0.127,0.107,0.139,0.069,0.141,0.034,0.143,0.019,0.144
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.0_rag,0.052,0.218,0.167,0.080,0.101,0.110,0.053,0.124,0.032,0.131
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.0_rag_few_shot_1,0.006,0.264,0.165,0.081,0.155,0.056,0.109,0.067,0.083,0.080
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_zero_shot,0.017,0.253,0.088,0.159,0.056,0.154,0.032,0.145,0.020,0.143
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_few_shot_3,0.059,0.211,0.090,0.157,0.061,0.149,0.032,0.145,0.020,0.143
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_few_shot_1,0.048,0.223,0.151,0.096,0.084,0.126,0.043,0.134,0.024,0.140
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_few_shot_5,0.060,0.211,0.117,0.129,0.060,0.150,0.031,0.145,0.020,0.144
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag,0.006,0.264,0.141,0.106,0.091,0.119,0.037,0.139,0.023,0.140
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_3,0.006,0.264,0.165,0.081,0.127,0.083,0.074,0.103,0.045,0.118
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_1,0.048,0.223,0.170,0.077,0.159,0.051,0.109,0.068,0.067,0.096
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_5,0.006,0.264,0.151,0.095,0.139,0.071,0.093,0.083,0.059,0.104
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_zero_shot,0.019,0.252,0.094,0.153,0.061,0.149,0.029,0.147,0.016,0.147
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_3,0.046,0.225,0.073,0.174,0.045,0.166,0.017,0.160,0.010,0.153
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_1,0.046,0.225,0.055,0.191,0.042,0.168,0.017,0.159,0.014,0.149
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_5,0.035,0.236,0.076,0.171,0.046,0.165,0.018,0.159,0.010,0.153
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag,0.006,0.264,0.111,0.135,0.074,0.136,0.033,0.143,0.021,0.142
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_3,0.047,0.224,0.111,0.135,0.078,0.132,0.038,0.138,0.027,0.136
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_1,0.006,0.264,0.137,0.109,0.113,0.097,0.067,0.109,0.046,0.117
gpt-3.5-turbo-0125_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_5,0.006,0.264,0.136,0.110,0.103,0.108,0.063,0.113,0.044,0.119
gpt-3.5-turbo-0125_0.5_rag_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.111,0.299,0.053,0.313,0.053,0.283,0.007,0.166,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.108,0.302,0.054,0.313,0.038,0.298,0.004,0.169,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.125,0.284,0.061,0.306,0.117,0.219,0.019,0.155,0.011,0.087
gpt-3.5-turbo-0125_0.5_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.099,0.311,0.046,0.320,0.024,0.313,0.000,0.173,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.098,0.312,0.045,0.322,0.013,0.323,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.087,0.322,0.060,0.307,0.020,0.317,0.012,0.162,0.008,0.089
gpt-3.5-turbo-0125_0.5_rag_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.077,0.332,0.056,0.311,0.058,0.279,0.025,0.149,0.006,0.092
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.0_few_shot_5,0.115,0.294,0.046,0.321,0.010,0.326,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.0_rag,0.074,0.336,0.049,0.317,0.028,0.309,0.016,0.157,0.008,0.089
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.089,0.321,0.030,0.336,0.000,0.336,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_zero_shot,0.083,0.326,0.039,0.327,0.010,0.327,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_few_shot_3,0.083,0.327,0.038,0.328,0.012,0.325,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_few_shot_1,0.077,0.332,0.033,0.333,0.008,0.329,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_few_shot_5,0.085,0.324,0.038,0.328,0.014,0.322,0.008,0.165,0.006,0.092
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_rag,0.082,0.327,0.029,0.338,0.017,0.319,0.000,0.173,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.084,0.325,0.030,0.336,0.010,0.327,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.089,0.321,0.025,0.341,0.026,0.311,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.084,0.325,0.033,0.333,0.044,0.293,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_zero_shot,0.068,0.342,0.040,0.327,0.003,0.333,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_few_shot_3,0.101,0.308,0.052,0.314,0.004,0.332,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_few_shot_1,0.093,0.317,0.049,0.317,0.003,0.333,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_few_shot_5,0.086,0.323,0.041,0.325,0.039,0.297,0.003,0.170,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_rag,0.082,0.327,0.038,0.328,0.011,0.325,0.000,0.173,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.086,0.323,0.040,0.326,0.002,0.334,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.084,0.325,0.033,0.334,0.029,0.307,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.5_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.091,0.318,0.034,0.333,0.044,0.293,0.000,0.174,0.000,0.097
gpt-3.5-turbo-0125_0.0_rag_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.006,0.061,0.002,0.023,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.014,0.053,0.005,0.019,0.004,0.012,0.002,0.005,0.001,0.003
gpt-3.5-turbo-0125_0.0_rag_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.013,0.054,0.004,0.020,0.002,0.015,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.0_few_shot_5,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.0_rag,0.006,0.061,0.003,0.022,0.002,0.014,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_zero_shot,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_few_shot_3,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_few_shot_1,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_few_shot_5,0.007,0.060,0.003,0.022,0.002,0.015,0.001,0.007,0.001,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_rag,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_zero_shot,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_few_shot_3,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_few_shot_1,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_few_shot_5,0.006,0.061,0.002,0.023,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_rag,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_0.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.000,0.067,0.000,0.025,0.000,0.016,0.000,0.007,0.000,0.004
gpt-3.5-turbo-0125_1.0_rag_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.120,0.269,0.125,0.260,0.089,0.235,0.053,0.170,0.031,0.113
gpt-3.5-turbo-0125_1.0_rag_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.124,0.265,0.111,0.274,0.046,0.279,0.035,0.188,0.026,0.118
gpt-3.5-turbo-0125_1.0_rag_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.175,0.215,0.295,0.090,0.203,0.121,0.103,0.119,0.045,0.098
gpt-3.5-turbo-0125_1.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.098,0.292,0.077,0.307,0.072,0.253,0.043,0.180,0.021,0.122
gpt-3.5-turbo-0125_1.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.062,0.328,0.053,0.332,0.041,0.284,0.036,0.187,0.025,0.119
gpt-3.5-turbo-0125_1.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.031,0.359,0.024,0.361,0.059,0.266,0.054,0.169,0.029,0.114
gpt-3.5-turbo-0125_1.0_rag_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.162,0.228,0.128,0.257,0.102,0.222,0.067,0.156,0.046,0.098
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.0_few_shot_5,0.312,0.077,0.176,0.209,0.069,0.255,0.034,0.189,0.033,0.110
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.0_rag,0.148,0.242,0.172,0.213,0.110,0.215,0.071,0.152,0.049,0.095
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.066,0.324,0.049,0.336,0.053,0.271,0.054,0.168,0.037,0.106
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_zero_shot,0.171,0.219,0.118,0.267,0.079,0.245,0.038,0.185,0.030,0.113
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_few_shot_3,0.241,0.148,0.153,0.231,0.104,0.221,0.033,0.190,0.031,0.112
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_few_shot_1,0.214,0.176,0.122,0.263,0.053,0.272,0.028,0.195,0.031,0.112
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_few_shot_5,0.158,0.232,0.121,0.263,0.083,0.242,0.040,0.182,0.034,0.110
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_rag,0.044,0.346,0.106,0.279,0.090,0.235,0.042,0.181,0.029,0.114
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.077,0.313,0.069,0.316,0.048,0.277,0.050,0.173,0.034,0.110
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.077,0.313,0.075,0.309,0.070,0.254,0.065,0.158,0.032,0.111
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.170,0.219,0.093,0.292,0.054,0.271,0.049,0.174,0.036,0.107
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_zero_shot,0.131,0.258,0.067,0.318,0.040,0.285,0.028,0.195,0.031,0.112
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_few_shot_3,0.192,0.198,0.149,0.236,0.082,0.243,0.031,0.192,0.031,0.112
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_few_shot_1,0.304,0.086,0.185,0.200,0.079,0.246,0.030,0.193,0.029,0.114
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_few_shot_5,0.121,0.269,0.090,0.295,0.053,0.272,0.037,0.186,0.028,0.115
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_rag,0.102,0.288,0.084,0.301,0.091,0.234,0.038,0.185,0.029,0.114
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.102,0.288,0.048,0.337,0.072,0.253,0.037,0.186,0.029,0.115
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.052,0.338,0.095,0.289,0.043,0.282,0.052,0.171,0.034,0.110
gpt-3.5-turbo-0125_1.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.121,0.269,0.079,0.306,0.065,0.260,0.046,0.177,0.033,0.110
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.135,0.084,0.106,0.099,0.097,0.096,0.078,0.075,0.064,0.067
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.136,0.083,0.071,0.134,0.054,0.139,0.036,0.117,0.039,0.092
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.133,0.086,0.093,0.112,0.082,0.111,0.087,0.066,0.096,0.035
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.062,0.157,0.073,0.131,0.060,0.133,0.042,0.111,0.047,0.084
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.117,0.102,0.095,0.109,0.075,0.118,0.036,0.117,0.040,0.091
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.052,0.168,0.070,0.134,0.076,0.117,0.050,0.102,0.043,0.088
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.128,0.091,0.090,0.114,0.083,0.110,0.070,0.083,0.051,0.079
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.158,0.061,0.148,0.057,0.138,0.055,0.088,0.065,0.067,0.063
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_rag,0.095,0.124,0.092,0.112,0.084,0.109,0.070,0.083,0.067,0.063
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.164,0.055,0.110,0.095,0.101,0.092,0.092,0.060,0.046,0.085
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.105,0.114,0.093,0.111,0.080,0.113,0.064,0.089,0.064,0.066
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.193,0.026,0.140,0.065,0.137,0.056,0.081,0.072,0.073,0.058
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.162,0.057,0.136,0.069,0.112,0.081,0.081,0.071,0.070,0.061
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.219,0.000,0.131,0.073,0.101,0.092,0.073,0.079,0.064,0.067
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag,0.141,0.079,0.107,0.098,0.091,0.102,0.073,0.080,0.065,0.066
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.116,0.103,0.088,0.116,0.087,0.106,0.068,0.085,0.044,0.087
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.100,0.119,0.097,0.107,0.089,0.104,0.068,0.084,0.042,0.089
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_5,0.125,0.095,0.093,0.112,0.088,0.105,0.064,0.089,0.050,0.081
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_zero_shot,0.087,0.132,0.076,0.129,0.059,0.134,0.043,0.110,0.056,0.075
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_3,0.123,0.097,0.113,0.091,0.083,0.110,0.050,0.103,0.055,0.076
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_1,0.114,0.106,0.082,0.123,0.081,0.112,0.055,0.098,0.060,0.071
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_5,0.032,0.188,0.066,0.139,0.066,0.127,0.050,0.103,0.052,0.079
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag,0.121,0.099,0.090,0.115,0.082,0.111,0.058,0.095,0.054,0.077
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_3,0.090,0.129,0.083,0.122,0.081,0.112,0.068,0.085,0.065,0.066
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_1,0.150,0.069,0.108,0.097,0.101,0.092,0.082,0.071,0.058,0.072
gpt-4-0125-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_5,0.130,0.090,0.117,0.088,0.106,0.087,0.085,0.068,0.063,0.068
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.098,0.044,0.074,0.059,0.068,0.063,0.061,0.064,0.045,0.061
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.092,0.050,0.066,0.067,0.065,0.066,0.049,0.076,0.032,0.074
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.062,0.080,0.056,0.077,0.076,0.055,0.068,0.058,0.063,0.043
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.088,0.054,0.080,0.053,0.076,0.055,0.061,0.065,0.040,0.066
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.078,0.064,0.073,0.060,0.075,0.057,0.065,0.061,0.043,0.062
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.114,0.028,0.075,0.058,0.071,0.060,0.066,0.060,0.043,0.062
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.067,0.075,0.065,0.068,0.070,0.062,0.069,0.057,0.054,0.052
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.075,0.067,0.096,0.037,0.084,0.047,0.080,0.046,0.059,0.046
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag,0.046,0.096,0.054,0.079,0.065,0.067,0.052,0.074,0.046,0.060
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.082,0.060,0.064,0.069,0.089,0.042,0.084,0.042,0.064,0.042
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.077,0.065,0.086,0.047,0.077,0.054,0.055,0.071,0.043,0.063
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.125,0.017,0.092,0.041,0.093,0.038,0.081,0.045,0.059,0.046
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.101,0.041,0.079,0.054,0.086,0.045,0.072,0.054,0.067,0.039
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.101,0.041,0.095,0.038,0.096,0.035,0.081,0.045,0.065,0.041
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag,0.060,0.082,0.089,0.044,0.085,0.046,0.071,0.055,0.058,0.047
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.077,0.065,0.073,0.060,0.084,0.048,0.083,0.042,0.057,0.049
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.068,0.074,0.071,0.062,0.083,0.048,0.075,0.051,0.055,0.051
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_5,0.084,0.058,0.071,0.062,0.085,0.046,0.081,0.045,0.063,0.043
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_zero_shot,0.066,0.076,0.052,0.082,0.045,0.087,0.040,0.085,0.039,0.067
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_3,0.096,0.046,0.079,0.054,0.071,0.060,0.064,0.061,0.046,0.059
gpt-4-0125-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_1,0.096,0.046,0.069,0.064,0.060,0.071,0.057,0.069,0.045,0.061
